あぶらいろ,*,*,*,名詞,一般,色彩語,*,*,*,あぶらいろ,*,*
油色,*,*,*,名詞,一般,色彩語,*,*,*,油色,*,*
アプリコット,*,*,*,名詞,一般,色彩語,*,*,*,アプリコット,*,*
apricot,*,*,*,名詞,一般,色彩語,*,*,*,apricot,*,*
杏色,*,*,*,名詞,一般,色彩語,*,*,*,杏色,*,*
あまいろ,*,*,*,名詞,一般,色彩語,*,*,*,あまいろ,*,*
亜麻色,*,*,*,名詞,一般,色彩語,*,*,*,亜麻色,*,*
エクルベージュ,*,*,*,名詞,一般,色彩語,*,*,*,エクルベージュ,*,*
あまいろあめいろ,*,*,*,名詞,一般,色彩語,*,*,*,あまいろあめいろ,*,*
天色,*,*,*,名詞,一般,色彩語,*,*,*,天色,*,*
空色,*,*,*,名詞,一般,色彩語,*,*,*,空色,*,*
あめいろ,*,*,*,名詞,一般,色彩語,*,*,*,あめいろ,*,*
飴色,*,*,*,名詞,一般,色彩語,*,*,*,飴色,*,*
アメシスト,*,*,*,名詞,一般,色彩語,*,*,*,アメシスト,*,*
アメジスト,*,*,*,名詞,一般,色彩語,*,*,*,アメジスト,*,*
amethyst,*,*,*,名詞,一般,色彩語,*,*,*,amethyst,*,*
あやめいろ,*,*,*,名詞,一般,色彩語,*,*,*,あやめいろ,*,*
菖蒲色,*,*,*,名詞,一般,色彩語,*,*,*,菖蒲色,*,*
あらいがき,*,*,*,名詞,一般,色彩語,*,*,*,あらいがき,*,*
洗柿,*,*,*,名詞,一般,色彩語,*,*,*,洗柿,*,*
あらいしゅ,*,*,*,名詞,一般,色彩語,*,*,*,あらいしゅ,*,*
洗朱,*,*,*,名詞,一般,色彩語,*,*,*,洗朱,*,*
アリスブルー,*,*,*,名詞,一般,色彩語,*,*,*,アリスブルー,*,*
Alice blue,*,*,*,名詞,一般,色彩語,*,*,*,Alice blue,*,*
いんこうしょく,*,*,*,名詞,一般,色彩語,*,*,*,いんこうしょく,*,*
殷紅色,*,*,*,名詞,一般,色彩語,*,*,*,殷紅色,*,*
暗紅色,*,*,*,名詞,一般,色彩語,*,*,*,暗紅色,*,*
あんこくしょく,*,*,*,名詞,一般,色彩語,*,*,*,あんこくしょく,*,*
暗黒色,*,*,*,名詞,一般,色彩語,*,*,*,暗黒色,*,*
あんずいろ,*,*,*,名詞,一般,色彩語,*,*,*,あんずいろ,*,*
杏色,*,*,*,名詞,一般,色彩語,*,*,*,杏色,*,*
杏子色,*,*,*,名詞,一般,色彩語,*,*,*,杏子色,*,*
アプリコット,*,*,*,名詞,一般,色彩語,*,*,*,アプリコット,*,*
アンバー,*,*,*,名詞,一般,色彩語,*,*,*,アンバー,*,*
amber,*,*,*,名詞,一般,色彩語,*,*,*,amber,*,*
琥珀色,*,*,*,名詞,一般,色彩語,*,*,*,琥珀色,*,*
あんりょくしょく,*,*,*,名詞,一般,色彩語,*,*,*,あんりょくしょく,*,*
暗緑色,*,*,*,名詞,一般,色彩語,*,*,*,暗緑色,*,*
ジョンブリアン,*,*,*,名詞,一般,色彩語,*,*,*,ジョンブリアン,*,*
jaune brillant,*,*,*,名詞,一般,色彩語,*,*,*,jaune brillant,*,*
オーカー,*,*,*,名詞,一般,色彩語,*,*,*,オーカー,*,*
ocher,*,*,*,名詞,一般,色彩語,*,*,*,ocher,*,*
黄土色,*,*,*,名詞,一般,色彩語,*,*,*,黄土色,*,*
きみどり,*,*,*,名詞,一般,色彩語,*,*,*,きみどり,*,*
黄緑,*,*,*,名詞,一般,色彩語,*,*,*,黄緑,*,*
イエローグリーン,*,*,*,名詞,一般,色彩語,*,*,*,イエローグリーン,*,*
きあか,*,*,*,名詞,一般,色彩語,*,*,*,きあか,*,*
黄赤,*,*,*,名詞,一般,色彩語,*,*,*,黄赤,*,*
イエローレッド,*,*,*,名詞,一般,色彩語,*,*,*,イエローレッド,*,*
オレンジ,*,*,*,名詞,一般,色彩語,*,*,*,オレンジ,*,*
サルファーイエロー,*,*,*,名詞,一般,色彩語,*,*,*,サルファーイエロー,*,*
sulfur yellow,*,*,*,名詞,一般,色彩語,*,*,*,sulfur yellow,*,*
硫黄色,*,*,*,名詞,一般,色彩語,*,*,*,硫黄色,*,*
やなぎちゃ,*,*,*,名詞,一般,色彩語,*,*,*,やなぎちゃ,*,*
柳茶,*,*,*,名詞,一般,色彩語,*,*,*,柳茶,*,*
威光茶,*,*,*,名詞,一般,色彩語,*,*,*,威光茶,*,*
いちごいろ,*,*,*,名詞,一般,色彩語,*,*,*,いちごいろ,*,*
苺色,*,*,*,名詞,一般,色彩語,*,*,*,苺色,*,*
ストロベリー,*,*,*,名詞,一般,色彩語,*,*,*,ストロベリー,*,*
いっこんぞめ,*,*,*,名詞,一般,色彩語,*,*,*,いっこんぞめ,*,*
いっきんぞめ,*,*,*,名詞,一般,色彩語,*,*,*,いっきんぞめ,*,*
一斤染,*,*,*,名詞,一般,色彩語,*,*,*,一斤染,*,*
いまよう,*,*,*,名詞,一般,色彩語,*,*,*,いまよう,*,*
いまよういろ,*,*,*,名詞,一般,色彩語,*,*,*,いまよういろ,*,*
今様,*,*,*,名詞,一般,色彩語,*,*,*,今様,*,*
今様色,*,*,*,名詞,一般,色彩語,*,*,*,今様色,*,*
インクブルー,*,*,*,名詞,一般,色彩語,*,*,*,インクブルー,*,*
ink blue,*,*,*,名詞,一般,色彩語,*,*,*,ink blue,*,*
インディアンイエロー,*,*,*,名詞,一般,色彩語,*,*,*,インディアンイエロー,*,*
Indian yellow,*,*,*,名詞,一般,色彩語,*,*,*,Indian yellow,*,*
インディアンレッド,*,*,*,名詞,一般,色彩語,*,*,*,インディアンレッド,*,*
インドあか,*,*,*,名詞,一般,色彩語,*,*,*,インドあか,*,*
Indian red,*,*,*,名詞,一般,色彩語,*,*,*,Indian red,*,*
印度赤,*,*,*,名詞,一般,色彩語,*,*,*,印度赤,*,*
インディゴ,*,*,*,名詞,一般,色彩語,*,*,*,インディゴ,*,*
インジゴ,*,*,*,名詞,一般,色彩語,*,*,*,インジゴ,*,*
indigo,*,*,*,名詞,一般,色彩語,*,*,*,indigo,*,*
藍色,*,*,*,名詞,一般,色彩語,*,*,*,藍色,*,*
バーミリオン,*,*,*,名詞,一般,色彩語,*,*,*,バーミリオン,*,*
